wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1068.7026,0,0.58183,7.7392e-08,3.8232,4.405
1068.7125,0,0.58183,7.7408e-08,3.8234,4.4052
1068.7224,0,0.58183,7.7423e-08,3.8236,4.4054
1068.7323,0,0.58183,7.7438e-08,3.8238,4.4056
1068.7422,0,0.58183,7.7454e-08,3.824,4.4058
1068.7521,0,0.58183,7.7469e-08,3.8242,4.406
1068.7620,0,0.58183,7.7485e-08,3.8244,4.4062
1068.7719,0,0.58183,7.75e-08,3.8246,4.4064
1068.7818,0,0.58183,7.7516e-08,3.8248,4.4066
1068.7917,0,0.58183,7.7532e-08,3.825,4.4068
1068.8016,0,0.58183,7.7548e-08,3.8252,4.407
1068.8115,0,0.58183,7.7563e-08,3.8254,4.4072
1068.8214,0,0.58183,7.7579e-08,3.8256,4.4074
1068.8313,0,0.58183,7.7595e-08,3.8258,4.4076
1068.8412,0,0.58183,7.7611e-08,3.826,4.4078
1068.8511,0,0.58183,7.7628e-08,3.8262,4.408
1068.8610,0,0.58183,7.7644e-08,3.8264,4.4082
1068.8709,0,0.58183,7.766e-08,3.8266,4.4084
1068.8808,0,0.58183,7.7676e-08,3.8268,4.4086
1068.8907,0,0.58183,7.7693e-08,3.827,4.4088
1068.9006,0,0.58183,7.7709e-08,3.8272,4.409
1068.9105,0,0.58183,7.7725e-08,3.8274,4.4092
1068.9204,0,0.58183,7.7742e-08,3.8276,4.4095
1068.9303,0,0.58183,7.7759e-08,3.8278,4.4097
1068.9402,0,0.58183,7.7775e-08,3.828,4.4099
1068.9501,0,0.58183,7.7792e-08,3.8282,4.4101
1068.9600,0,0.58183,7.7809e-08,3.8284,4.4103
1068.9699,0,0.58183,7.7826e-08,3.8286,4.4105
1068.9798,0,0.58183,7.7843e-08,3.8288,4.4107
1068.9897,0,0.58183,7.786e-08,3.829,4.4109
1068.9996,0,0.58183,7.7877e-08,3.8293,4.4111
1069.0095,0,0.58183,7.7894e-08,3.8298,4.4116
1069.0194,0,0.58183,7.7911e-08,3.8303,4.4121
1069.0293,0,0.58183,7.7928e-08,3.8308,4.4126
1069.0392,0,0.58183,7.7945e-08,3.8314,4.4132
1069.0491,0,0.58183,7.7963e-08,3.8319,4.4137
1069.0590,0,0.58183,7.798e-08,3.8324,4.4142
1069.0689,0,0.58183,7.7998e-08,3.8329,4.4148
1069.0788,0,0.58183,7.8015e-08,3.8335,4.4153
1069.0887,0,0.58183,7.8033e-08,3.834,4.4158
1069.0986,0,0.58183,7.805e-08,3.8345,4.4164
1069.1085,0,0.58183,7.8068e-08,3.8351,4.4169
1069.1184,0,0.58183,7.8086e-08,3.8356,4.4174
1069.1283,0,0.58183,7.8104e-08,3.8361,4.418
1069.1382,0,0.58183,7.8122e-08,3.8367,4.4185
1069.1481,0,0.58183,7.814e-08,3.8372,4.419
1069.1580,0,0.58183,7.8158e-08,3.8377,4.4195
1069.1679,0,0.58183,7.8176e-08,3.8382,4.4201
1069.1778,0,0.58183,7.8194e-08,3.8388,4.4206
1069.1877,0,0.58183,7.8212e-08,3.8393,4.4211
1069.1976,0,0.58183,7.8231e-08,3.8398,4.4217
1069.2075,0,0.58183,7.8249e-08,3.8404,4.4222
1069.2174,0,0.58183,7.8267e-08,3.8409,4.4227
1069.2273,0,0.58183,7.8286e-08,3.8414,4.4232
1069.2372,0,0.58183,7.8304e-08,3.8419,4.4238
1069.2471,0,0.58183,7.8323e-08,3.8425,4.4243
1069.2570,0,0.58183,7.8342e-08,3.843,4.4248
1069.2669,0,0.58183,7.836e-08,3.8435,4.4254
1069.2768,0,0.58183,7.8379e-08,3.8441,4.4259
1069.2867,0,0.58183,7.8398e-08,3.8446,4.4264
1069.2966,0,0.58183,7.8417e-08,3.8451,4.427
1069.3065,0,0.58183,7.8436e-08,3.8457,4.4275
1069.3164,0,0.58183,7.8455e-08,3.8462,4.428
1069.3263,0,0.58183,7.8474e-08,3.8467,4.4285
1069.3362,0,0.58183,7.8493e-08,3.8472,4.4291
1069.3461,0,0.58183,7.8513e-08,3.8478,4.4296
1069.3560,0,0.58183,7.8532e-08,3.8483,4.4301
1069.3659,0,0.58183,7.8551e-08,3.8488,4.4306
1069.3758,0,0.58183,7.8571e-08,3.8493,4.4312
1069.3857,0,0.58183,7.859e-08,3.8499,4.4317
1069.3956,0,0.58183,7.861e-08,3.8504,4.4322
1069.4055,0,0.58183,7.8629e-08,3.8509,4.4328
1069.4154,0,0.58183,7.8649e-08,3.8515,4.4333
1069.4253,0,0.58183,7.8669e-08,3.852,4.4338
1069.4352,0,0.58183,7.8688e-08,3.8525,4.4343
1069.4451,0,0.58183,7.8708e-08,3.853,4.4349
1069.4550,0,0.58183,7.8728e-08,3.8536,4.4354
1069.4649,0,0.58183,7.8748e-08,3.8541,4.4359
1069.4748,0,0.58183,7.8768e-08,3.8546,4.4364
1069.4847,0,0.58183,7.8789e-08,3.8551,4.437
1069.4946,0,0.58183,7.8809e-08,3.8557,4.4375
1069.5045,0,0.58183,7.883e-08,3.8562,4.438
1069.5144,0,0.58183,7.885e-08,3.8567,4.4386
1069.5243,0,0.58183,7.8871e-08,3.8573,4.4391
1069.5342,0,0.58183,7.8892e-08,3.8578,4.4397
1069.5441,0,0.58183,7.8913e-08,3.8584,4.4402
1069.5540,0,0.58183,7.8934e-08,3.8589,4.4407
1069.5639,0,0.58183,7.8956e-08,3.8595,4.4413
1069.5738,0,0.58183,7.8977e-08,3.86,4.4418
1069.5837,0,0.58183,7.8999e-08,3.8605,4.4424
1069.5936,0,0.58183,7.902e-08,3.8611,4.4429
1069.6035,0,0.58183,7.9042e-08,3.8616,4.4434
1069.6134,0,0.58183,7.9064e-08,3.8622,4.444
1069.6233,0,0.58183,7.9085e-08,3.8627,4.4445
1069.6332,0,0.58183,7.9107e-08,3.8632,4.4451
1069.6431,0,0.58183,7.9129e-08,3.8638,4.4456
1069.6530,0,0.58183,7.9151e-08,3.8643,4.4462
1069.6629,0,0.58183,7.9173e-08,3.8649,4.4467
1069.6728,0,0.58183,7.9195e-08,3.8654,4.4472
1069.6827,0,0.58183,7.9217e-08,3.8659,4.4478
1069.6926,0,0.58183,7.924e-08,3.8665,4.4483
1069.7025,0,0.58183,7.9262e-08,3.867,4.4489
1069.7124,0,0.58183,7.9284e-08,3.8676,4.4494
1069.7223,0,0.58183,7.9307e-08,3.8681,4.4499
1069.7322,0,0.58183,7.9329e-08,3.8686,4.4505
1069.7421,0,0.58183,7.9352e-08,3.8692,4.451
1069.7520,0,0.58183,7.9374e-08,3.8697,4.4516
1069.7619,0,0.58183,7.9397e-08,3.8703,4.4521
1069.7718,0,0.58183,7.942e-08,3.8708,4.4526
1069.7817,0,0.58183,7.9442e-08,3.8713,4.4532
1069.7916,0,0.58183,7.9465e-08,3.8719,4.4537
1069.8015,0,0.58183,7.9488e-08,3.8724,4.4542
1069.8114,0,0.58183,7.9511e-08,3.873,4.4548
1069.8213,0,0.58183,7.9534e-08,3.8735,4.4553
1069.8312,0,0.58183,7.9557e-08,3.874,4.4559
1069.8411,0,0.58183,7.9581e-08,3.8746,4.4564
1069.8510,0,0.58183,7.9604e-08,3.8751,4.4569
1069.8609,0,0.58183,7.9627e-08,3.8756,4.4575
1069.8708,0,0.58183,7.9651e-08,3.8762,4.458
1069.8807,0,0.58183,7.9674e-08,3.8767,4.4586
1069.8906,0,0.58183,7.9698e-08,3.8773,4.4591
1069.9005,0,0.58183,7.9721e-08,3.8778,4.4596
1069.9104,0,0.58183,7.9745e-08,3.8783,4.4602
1069.9203,0,0.58183,7.9769e-08,3.8789,4.4607
1069.9302,0,0.58183,7.9792e-08,3.8794,4.4612
1069.9401,0,0.58183,7.9816e-08,3.88,4.4618
1069.9500,0,0.58183,7.984e-08,3.8805,4.4623
1069.9599,0,0.58183,7.9864e-08,3.881,4.4629
1069.9698,0,0.58183,7.9888e-08,3.8816,4.4634
1069.9797,0,0.58183,7.9912e-08,3.8821,4.4639
1069.9896,0,0.58183,7.9937e-08,3.8826,4.4645
1069.9995,0,0.58183,7.9961e-08,3.8832,4.465
1070.0094,0,0.58183,7.9985e-08,3.884,4.4659
1070.0193,0,0.58183,8.001e-08,3.8849,4.4667
1070.0292,0,0.58183,8.0034e-08,3.8858,4.4676
1070.0391,0,0.58183,8.0059e-08,3.8867,4.4685
1070.0490,0,0.58183,8.0083e-08,3.8875,4.4694
1070.0589,0,0.58183,8.0108e-08,3.8884,4.4702
1070.0688,0,0.58183,8.0132e-08,3.8893,4.4711
1070.0787,0,0.58183,8.0157e-08,3.8902,4.472
1070.0886,0,0.58183,8.0182e-08,3.891,4.4729
1070.0985,0,0.58183,8.0207e-08,3.8919,4.4737
1070.1084,0,0.58183,8.0232e-08,3.8928,4.4746
1070.1183,0,0.58183,8.0257e-08,3.8937,4.4755
